feature,filter_score
min.histogram.9,0.3278804753849416
median.histogram.9,0.32747419182112303
h_mean.histogram.9,0.3248780972917569
leaves,0.29086740779592946
var.histogram.0,0.2785095915999962
class_conc.histogram.0,0.266457090553196
best_node.max,0.26337196125567885
iq_range.histogram.0,0.25968725972616236
mad.histogram.0,0.25481775339369683
elite_nn.median.relative,0.24776686645185686
t_mean.histogram.9,0.24443018258242066
wg_dist.max,0.24359362478404645
sparsity.histogram.9,0.23921149541740716
leaves_corrob.mean,0.23716399696728852
worst_node.mean.relative,0.23653821342665093
tree_depth.histogram.5,0.2341113620315407
range.histogram.0,0.2288509003860537
leaves_homo.min,0.226790584814895
best_node.histogram.6,0.22597018285812398
max.histogram.9,0.22496827165177624
leaves_homo.histogram.0,0.22350127734249936
range.min,0.22135025829714072
g_mean.histogram.9,0.2206553498501429
elite_nn.mean,0.21919334343326424
random_node.histogram.8.relative,0.21660513871339981
sd.histogram.0,0.2146244799242698
mad.histogram.9,0.2135535093237908
nr_attr,0.21218493616117584
one_nn.max.relative,0.21064041625704055
leaves_homo.sd,0.21023169716720336
elite_nn.min.relative,0.20949725444225287
eigenvalues.histogram.9,0.20908576132345935
one_nn.min,0.20787014439667262
joint_ent.histogram.0,0.20720898756269923
t4,0.2066722339115281
leaves_branch.sd,0.20426258205437575
f3.mean,0.20312659940170574
tree_shape.sd,0.2028538806524791
leaves_branch.max,0.20165927398722605
leaves_homo.max,0.20154839889681497
cov.histogram.0,0.20066568925699402
leaves_branch.mean,0.2005121565554977
impconceptvar.histogram.3,0.1986442270205253
eigenvalues.histogram.0,0.19663007489833007
cov.min,0.19512917587202683
one_nn.histogram.0.relative,0.1939622557811025
var_importance.histogram.9,0.19135215994377353
worst_node.median.relative,0.19093798286524777
f3.min,0.18813755878791572
nodes_repeated.histogram.0,0.18653619279261058
var_importance.mean,0.18390336528300466
min.max,0.18361885141893985
hubs.histogram.4,0.18250178587211696
nodes_per_level.histogram.9,0.18157708124150407
joint_ent.max,0.18149661614082602
impconceptvar.mean,0.18078235513238772
tree_shape.median,0.1807380610228697
leaves_homo.mean,0.17976671001588773
two_itemset.histogram.6,0.17964315026315703
elite_nn.max,0.17825808786810748
nodes_per_level.median,0.17706943557815524
nodes_per_level.mean,0.17675747969755795
conceptvar.sd,0.17612621134728323
density,0.17447263034020777
iq_range.histogram.9,0.17376993145624686
mean.histogram.9,0.17263388839874416
random_node.sd,0.17139691028712445
max.min,0.17120241239685363
worst_node.histogram.0.relative,0.17085116163726966
leaves_homo.median,0.1699851974352593
nodes_per_level.max,0.16996011840040381
one_nn.max,0.16956898941107346
impconceptvar.histogram.2,0.1687426688292728
conceptvar.mean,0.16831923020912276
tree_shape.mean,0.16823785135740232
elite_nn.histogram.9.relative,0.16665238565478857
conceptvar.histogram.0,0.16603542385480896
hubs.histogram.6,0.16379888549031874
mut_inf.max,0.16343097865534117
mean.histogram.0,0.16332685729079843
naive_bayes.min,0.16238841669325277
wg_dist.mean,0.16036283486764225
elite_nn.max.relative,0.16013919442191415
random_node.mean.relative,0.15911031760330463
elite_nn.min,0.15903693406032948
attr_ent.histogram.0,0.15805569460319902
naive_bayes.mean.relative,0.15751436442440747
range.histogram.9,0.15743190599779755
nodes_repeated.max,0.15681412996751476
impconceptvar.histogram.0,0.15649405163501307
conceptvar.median,0.15554504871419406
n3.histogram.9,0.15533190941253006
elite_nn.mean.relative,0.15497989589804417
can_cor.mean,0.15481020694794578
n1,0.1531129817648207
one_nn.mean.relative,0.15293929251442995
nodes_per_level.histogram.4,0.15154083988802514
one_nn.mean,0.15047381302309892
f3.max,0.15037511011143767
random_node.median.relative,0.14937158046563503
inst_to_attr,0.14934572304335525
can_cor.max,0.14934378240246415
random_node.histogram.0.relative,0.1483679559935025
worst_node.max,0.14762799297871076
class_conc.max,0.14751961953439707
attr_to_inst,0.14717900630976244
max.histogram.0,0.14685325348387623
n3.histogram.0,0.14616677370107123
tree_imbalance.histogram.9,0.14522996512407493
sd.histogram.9,0.14522609794989716
tree_shape.min,0.14490085809400233
naive_bayes.histogram.5,0.14411293113309798
n3.sd,0.14322715346352188
tree_depth.histogram.3,0.14280227192788297
cov.histogram.9,0.14272868670963756
tree_depth.histogram.1,0.14272015815947858
roy_root,0.14235224985980954
can_cor.min,0.1420285643192254
sparsity.histogram.3,0.14187682083622732
one_nn.sd.relative,0.14128717787294454
range.median,0.1410405596042561
nodes_per_inst,0.1409258566132765
worst_node.max.relative,0.14085157117875324
best_node.sd.relative,0.13985950672710334
n2.histogram.7,0.13964091837399373
one_itemset.histogram.9,0.13960454909097608
elite_nn.histogram.8.relative,0.13639843946536212
g_mean.histogram.0,0.13567944665594256
tree_imbalance.mean,0.13512314718878926
wg_dist.histogram.5,0.13381597073945617
one_nn.histogram.1.relative,0.1332317747313736
random_node.min,0.13268088792311916
nr_outliers,0.13219739681323217
linear_discr.min.relative,0.13173610491604393
hubs.mean,0.13140844555916997
l1.mean,0.1296087538457935
wg_dist.histogram.4,0.12898284517394565
impconceptvar.histogram.6,0.12852886522490792
linear_discr.histogram.2.relative,0.12779032227192655
l2.mean,0.12749099981404877
mut_inf.sd,0.12719262821009147
best_node.mean,0.12582761882894777
attr_ent.min,0.1256841672192559
naive_bayes.max,0.12453517196765063
impconceptvar.histogram.7,0.12369156091038702
cohesiveness.histogram.5,0.12358562562317843
mut_inf.histogram.9,0.12257160891626828
freq_class.max,0.12249601434160295
skewness.min,0.12244725539472157
nodes_repeated.sd,0.12243403624319482
